filial;codigo_filial;produto;data_venda;cor_produto;total_custo;total_venda;total_desconto;total_qtde_venda;ve1;ve2;ve3;ve4;ve5;ve6;ve7;ve8;ve9;ve10;ve11;ve12;ve13;ve14;ve15;ve16;ve17;ve18;ve19;ve20;ve21;ve22;ve23;ve24;ve25;ve26;ve27;ve28;ve29;ve30;ve31;ve32;ve33;ve34;ve35;ve36;ve37;ve38;ve39;ve40;ve41;ve42;ve43;ve44;ve45;ve46;ve47;ve48;clifor;filial_propria;matriz;regiao;tabela_operacoes;tabela_medidas;tipo_produto;desc_produto;grupo_produto;subgrupo_produto;colecao;grade;linha;griffe;cartela;unidade;revenda;refer_fabricante;modelagem;fabricante;estilista;modelista;periodo_pcp;cor_fabricante;desc_cor_produto;tinturaria_lavagem;margem;preco_medio;porcentagem_valor;porcentagem_qtde;cor;material;cor_material;etiqueta;tipo_lavagem_tinturaria;qtde_troca;valor_troca;desconto_troca;custo_troca;qtde_liquida;valor_liquido;empresa;custo_rep_unitario;custo_rep_total;desc_produto_segmento;desc_produto_solucao;desc_sexo_tipo
GUARULHOS - RSR;000079;45.14.0052;17/05/2026;10;29,48;328;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;INDIGENA;AMAZONIA INDÍGENA 05/23;ECHARPE;MOUSSELINE DE POLIESTER;O8;45X210;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;MULTICOLOR;FALSO;91,01;328;0,15;0,13;10;;;;;0;0;0;0;1;328;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;45.14.640;16/05/2026;10;33,11;328;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;GEOMETRICO;SILVIA 05/22;ECHARPE;MOUSSELINE DE POLIESTER;M1;45X210;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;MULTICOLOR;FALSO;89,91;328;0,15;0,13;10;;;;;0;0;0;0;1;328;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;45.14.640;17/05/2026;10;33,11;328;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;GEOMETRICO;SILVIA 05/22;ECHARPE;MOUSSELINE DE POLIESTER;M1;45X210;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;MULTICOLOR;FALSO;89,91;328;0,15;0,13;10;;;;;0;0;0;0;1;328;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;55.14.170;15/05/2026;08;10,47;148;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;ABSTRATO;ALICIA 05/19;LENÇO;CETIM DE POLIESTER;91;50X50;APROVEITAMENTO LENÇO;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;ROSA;FALSO;92,93;148;0,07;0,13;08;;;;;0;0;0;0;1;148;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;85.03.189;17/05/2026;M3;5,3;148;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;FLORAL;FLOR FLAMINGO 02/23;TWILLY;CETIM DE POLIESTER;O3;8X130;APROVEITAMENTO LENÇO;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;LAVANDA;FALSO;96,42;148;0,07;0,13;M3;;;;;0;0;0;0;1;148;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;85.04.0116;16/05/2026;03;36,85;204,93308;13,06692;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;ABSTRATO;ALGODAO DOCE C 03/26;LENÇO;CETIM DE SEDA;X7;40X40;LENÇOS;SCARFME;;PC;FALSO;;;CHINA;;;PADRAO;;AZUL;FALSO;82,02;204,93;0,09;0,13;03;;;;;0;0;0;0;1;204,93;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;97.94.0156;16/05/2026;11;408,72;1794;0;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;FOLHAGEM;KF FORCA DA MATA CURTO 04/24;CAFTAN CURTO;VISCOSE;Q6;P/M/G;FASHION;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;LARANJA;FALSO;77,22;598;0,82;0,4;11;;;;;0;0;0;0;3;1794;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;97.94.139;16/05/2026;107;139,77;798;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;FLORAL;KAFTAN EMPODERE-SE CURTO 03/23;CAFTAN CURTO;VISCOSE;O5;P/M/G;FASHION;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;PRETO/OFF WHITE;FALSO;82,48;798;0,36;0,13;107;;;;;0;0;0;0;1;798;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;A3.43.0044;15/05/2026;14;10,47;0,0098164;0,0001836;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;FLORAL;KIT DANI FERNANDES 04/26;KIT;LENÇO +  BODY SPLASH;X9;UNICO;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;VINHO;FALSO;-104600;0,01;0;0,13;14;;;;;0;0;0;0;1;0,01;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;A3.43.0044;16/05/2026;14;10,47;142,67088;55,32912;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;FLORAL;KIT DANI FERNANDES 04/26;KIT;LENÇO +  BODY SPLASH;X9;UNICO;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;VINHO;FALSO;92,66;142,67;0,07;0,13;14;;;;;0;0;0;0;1;142,67;6;0;0;;;FEMININO
